Author,Title,Year,Score, read ,Modern Library         100 best of 20th century compiled in 1998,Man Booker,NBCC,National Book Award,Pen/Faulkner,Pulitzer,"  Esquire           75 best, sept 2008",Flanagan          best of 21st century,Observer           100 best of all time compiled in 2003,Daniel Burt      100 greatest novels of all time compiled in 2004,Radcliffe          100 best of 20th century compiled in 1998,Time Magazine         100 best novels since 1923 compiled in 2005,NYTimes      best novels of last 25 years compiled in 2006
"Munro, Alice",The Love of a Good Woman,1998,2,1,,,1,,,,,,,,,,1998
"Zabor, Rafi",The Bear Comes Home,1998,1,,,,,,1,,,,,,,,
"Berriault, Gina ",Women in their Beds,1997,2,,,,1,,1,,,,,,,,
"DeLillo, Don",Underworld,1997,2,1,,,,,,,1,,,,,,1
"Fitzgerald, Penelope",The Blue Flower,1997,2,1,,,1,,,,,,,,,,1997
"Frazier, Charles",Cold Mountain,1997,1,,,,,1,,,,,,,,,
"Millhauser, Steven",Martin Dressler: The Tale of an American Dreamer,1997,1,,,,,,,1,,,,,,,
"Ozick, Cynthia",The Puttermusser Papers,1997,1,,,,,,,,,,,,,,1997
"Pynchon, Thomas",Mason and Dixon,1997,1,,,,,,,,,,,,,,1997
"Roth, Philip",American Pastoral,1997,5,1,,,,,,1,1,,1,,,1,1
"Roy, Arundhati",The God of Small Things,1997,1,,,1,,,,,,,,,,,
"Updike, John",Toward the End of Time,1997,1,,,,,,,,,,,,,,1997
"Barrett, Andrea",Ship Fever and Other Stories,1996,1,,,,,1,,,,,,,,,
"Gallant, Mavis",The Collected Stories of Mavis Gallant,1996,1,,,,,,,,,,,,,,1996
"Munro, Alice",Selected Stories,1996,1,,,,,,,,,,,,,,1996
"Raban, Jonathan",Badland,1996,1,,,,,,,,,,,,,,1996
"Rushdie, Salman",The Moor's Last Sigh,1996,1,,,,,,,,,,,,,,1996
"Saunders, George",CivilWarLand in Bad Decline,1996,1,,,,,,,,1,,,,,,
"Swift, Graham",Last Orders,1996,1,,,1,,,,,,,,,,,
"Trevor, William",After Rain,1996,1,,,,,,,,,,,,,,1996
"Wallace, David Foster",Infinite Jest,1996,1,,,,,,,,,,,,,1,
"Amis, Martin",The Information,1995,1,,,,,,,,,,,,,,1995
"Barker, Pat",The Ghost Road,1995,1,,,1,,,,,,,,,,,
"Eco, Umberto",The Island of the Day Before,1995,1,1,,,,,,,,,,,,,1995
"Elkin, Stanley",Mrs. Ted Bliss,1995,1,,,,1,,,,,,,,,,
"Ellroy, James",American Tabloid,1995,1,,,,,,,,1,,,,,,
"Ford, Richard",Independence Day,1995,4,1,,,,,1,1,,,,,,1,1995
"Geterson, David",Snow Falling on Cedars,1995,1,,,,,,1,,,,,,,,
"Nabokov, Vladimir",The Stories of Vladimir Nabokov,1995,1,,,,,,,,,,,,,,1995
"Pullman, Philip",Northern Lights,1995,1,,,,,,,,,,1,,,,
"Roth, Philip",Sabbath's Theatre,1995,2,1,,,,1,,,,,,,,,2
"Shields, Carol",The Stone Diaries,1995,2,,,,1,,,1,,,,,,,
"Gaddis, William",A Frolic of his Own,1994,2,,,,,1,,,,,,,,,1994
"Kelman, James","How Late it Was, How Late",1994,1,,,1,,,,,,,,,,,
"Munro, Alice",Open Secrets,1994,1,,,,,,,,,,,,,,1994
"Murakami, Haruki",The Wind-up Bird Chronicles,1994,1,,,,,,,,1,,,,,,
"O'Brien, Tim",In the Lake of the Woods,1994,1,,,,,,,,,,,,,,1994
"Proulx, Annie",The Shipping News,1994,2,1,,,,1,,1,,,,,,,
"Wright, Stephen",Going Native,1994,1,,,,,,,,1,,,,,,
"Butler, Robert Olen",A Good Scent from a Strange Mountain,1993,1,,,,,,,1,,,,,,,
"Cela, Camilo Jose",Mazurka for Two Dead Men,1993,1,,,,,,,,,,,,,,1993
"Doyle, Roddy",Paddy Clarke Ha Ha Ha,1993,1,,,1,,,,,,,,,,,
"Gaines, Earnest",A Lesson Before Dying,1993,1,,,,1,,,,,,,,,,
"Gallant, Mavis",Stories,1993,1,,,,,,,,,,,,,,1993
"Herling, Gustaw",The Island: Three Tales,1993,1,,,,,,,,,,,,,,1993
"Klima, Ivan",Judge on Trial,1993,1,,,,,,,,,,,,,,1993
"Proulx, Annie",Postcards,1993,1,,,,,,1,,,,,,,,
"Roth, Philip",Operation Shylock,1993,2,1,,,,,1,,,,,,,,1
"Trevor, William",The Collected Stories    ,1993,1,,,,,,,,,,,,,,1993
"Barker, Pat",Regeneration,1992,1,,,,,,,,,,,,,,1992
"DeLillo, Don",Mao II,1992,1,1,,,,,1,,,,,,,,
"Johnson, Denis",Jesus' Son,1992,1,1,,,,,,,,,,,,,2
"McCarthy, Cormac",All The Pretty Horses,1992,1,1,,,1,,,,,,,,,,
"Merwin, W. S. ",The Lost Upland,1992,1,,,,,,,,,,,,,,1992
"Morrison, Toni",Jazz,1992,2,1,,,,,,,,,,,56,,1992
"Ondaatje, Michael",The English Patient,1992,2,1,,1,,,,,,,,,,,1992
"Smiley, Jane",A Thousand Acres,1992,2,1,,,1,,,1,,,,,,,
"Stephenson, Neal",Snow Crash,1992,1,1,,,,,,,,,,,,1,
"Stone, Robert",Outerbridge Reach,1992,1,,,,,,,,,,,,,,1992
"Unsworth, Barry",Sacred Hunger,1992,1,,,1,,,,,,,,,,,
"Amis, Martin",Time's Arrow,1991,1,,,,,,,,1,,,,,,
"Begley, Louis",Wartime Lies,1991,1,,,,,,,,,,,,,,1991
"Carter, Angela",Wise Children,1991,1,,,,,,,,,,1,,,,
"Okri, Ben",The Famished Road,1991,1,,,1,,,,,,,,,,,
"Pritchett, V. S.",Complete Collected Stories,1991,1,,,,,,,,,,,,,,1991
"Rush, Norman ",Mating,1991,2,1,,,,1,,,,,,,,,2
"Spiegelman, Art",MAUS A Survivor's Tale II,1991,1,,,,,,,,,,,,,,1991
"Trevor, William","Two Lives: ""Reading Turgenev"" and ""My House in Umbria""",1991,1,,,,,,,,,,,,,,1991
"Wideman, John Edgar",Philadelphia Fire,1991,1,,,,,,1,,,,,,,,
"Akhmatova, Anna",Complete Poems,1990,1,,,,,,,,,,,,,,1990
"Amis, Martin",London Fields,1990,1,,,,,,,,,,,,,,1990
"Byatt, A. S.",Possession,1990,3,1,,1,,,,,,,,,,1,1990
"Ellroy, James",L.A. Confidential,1990,1,,,,,,,,,,1,,,,
"Gordimer, Nadine",My Son's Story,1990,1,,,,,,,,,,,,,,1990
"Hijuelos, Oscar",The Mambo Kings Play Songs of Love,1990,1,,,,,,,1,,,,,,,
"Johnson, Charles",Middle Passage,1990,1,1,,,,1,,,,,,,,,
"Munro, Alice",Friend of my Youth,1990,1,,,,,,,,,,,,,,1990
"O'Brien, Tim",The Things They Carried,1990,2,1,,,,,,,1,,,,,,2
"Rushdie, Salman",Haroun and the Sea of Stories,1990,1,,,,,,,,,,1,,,,
"Walcott, Derek",Omeros,1990,1,,,,,,,,,,,,,,1990
"Banks, Russell",Affliction,1989,1,,,,,,,,1,,,,,,
"Boyle, T.C.",If the River Was Whiskey,1989,1,,,,,,,,,,,,,,1989
"Casey, John",Spartina,1989,1,,,,,1,,,,,,,,,
"Dahl, Roald",The BFG,1989,1,,,,,,,,,,1,,,,
"Doctorow, E L ",Billy Bathgate,1989,3,,,,1,,1,,,,,,,,1989
"Eco, Umberto",Foucault's Pendulum,1989,1,1,,,,,,,,,,,,,1989
"Ishiguro, Kazuo",The Remains of the Day,1989,2,1,,1,,,,,,,,,,,1989
"Ozick, Cynthia",The Shawl,1989,1,1,,,,,,,,,,,,,1989
"Salter, James",Dusk,1989,1,,,,,,1,,,,,,,,
"Tyler, Anne",Breathing Lessons,1989,1,,,,,,,1,,,,,,,
"Wolff, Tobias",This Boy's Life,1989,1,,,,,,,,1,,,,,,
Brodkey,Stories in an almost Classical Mode,1988,1,,,,,,,,,,,,,,1988
"Carey, Peter",Oscar and Lucinda,1988,2,,,1,,,,,,,1,,,,
"Carver, Raymond",Where I'm Calling From,1988,2,1,,,,,,,1,,,,,,2
"DeLillo, Don",Libra,1988,1,1,,,,,,,,,,,,,2
"Dexter, Pete",Paris Trout,1988,1,,,,,1,,,,,,,,,
"Flanagan, Thomas",The Tenants of Time,1988,1,,,,,,,,,,,,,,1988
"Marquez, Gabriel Garcia",Love in the Time of Cholera,1988,1,,,,,,,,,,,,,,1988
"Mukherjee, Bharati",The Middleman and Other Stories,1988,1,,,,1,,,,,,,,,,
"Pavic, Milorad","The Khazars: A Lexicon Novel in 100,000 Words",1988,1,,,,,,,,,,,,,,1988
"Rushdie, Salman",Satanic Verses,1988,2,,,,,,,,,,,,55,,1989
"Shammas, Anton",Arabesques,1988,1,,,,,,,,,,,,,,1988
"Auster, Paul",The New York Trilogy,1987,1,1,,,,,,,,,1,,,,
"Barnes, Julian",Staring at the Sun,1987,1,,,,,,,,,,,,,,1987
"Bellow, Saul",More Die of Heartbreak,1987,1,1,,,,,,,,,,,,,1987
"Boyle, T.C.",World's end,1987,2,,,,,,1,,,,,,,,1987
"Heinemann, Larry",Paco's Story,1987,1,,,,,1,,,,,,,,,
"Lively, Penelope",Moon Tiger,1987,1,,,1,,,,,,,,,,,
"Morrison, Toni",Beloved,1987,5,1,,,,,,1,,,,45,7,1,2
"Szabo, Magda",The Door,1987,1,,,,,,,,,,,,,,2015
"Taylor, Peter",A Summons to Memphis,1987,1,1,,,,,,1,,,,,,,
"Voznesensky, Andrei",An Arrow in the Wall: Selected Poetry and Prose,1987,1,,,,,,,,,,,,,,1987
"Wiley, Richard",Soldiers in Hiding,1987,1,,,,,,1,,,,,,,,
"Wolfe, Tom",Bonfire of the Vanities,1987,2,1,,,,,,,,,,,65,,1987
"Amis, Kingsley",The Old Devils,1986,1,,,1,,,,,,,,,,,
"Atwood, Margaret",The Handmaid's Tale,1986,1,1,,,,,,,,,,,,,1986
"Carter, Angela",Saints and Strangers,1986,1,,,,,,,,,,,,,,1986
"Doctorow, E. L.",World's Fair,1986,1,,,,,1,,,,,,,,,
"Ford, Richard",The Sportswriter,1986,2,1,,,,,,,1,,,,,1,
Ishiguro,An Artist of the Floating World,1986,1,1,,,,,,,,,1,,,,
"Jhabvala, Ruth Prawer",Out of India: Selected Stories,1986,1,,,,,,,,,,,,,,1986
"LeCarre, John",A Perfect Spy,1986,1,,,,,,,,,,,,,,1986
"McMurtry, Larry",Lonesome Dove,1986,2,,,,,,,1,1,,,,,,
Moore & Gibbons,Watchmen,1986,1,,,,,,,,,,,,,1,
"Munro, Alice",The Progress of Love,1986,1,,,,,,,,,,,,,,1986
"Price, Reynolds",Kate Vaiden,1986,1,,,,1,,,,,,,,,,
"Roth, Philip",Counterlife,1986,2,1,,,1,,,,,,,,,,2
"Rush, Norman ",Whites,1986,1,,,,,,,,,,,,,,1986
"Updike, John",Roger's Version,1986,1,1,,,,,,,,,,,,,1986
"Barnes, Julian",Flaubert's Parrot,1985,1,,,,,,,,,,,,,,1985
"Calvino, Italo",Mr. Palomar,1985,1,,,,,,,,,,,,,,1985
"DeLillo, Don",White Noise,1985,4,1,,,,1,,,,,,,82,1,1
"Erdrich, Louise",Love Medicine,1985,2,,,,1,,,,,,,,,,1985
"Hulme, Keri",The Bone People,1985,1,,,1,,,,,,,,,,,
"Levi, Primo",The Periodic Table,1985,2,1,,,,,,,,,1,,,,1985
"Lurie, Alison",Foreign Affairs,1985,1,,,,,,,1,,,,,,,
"McCarthy, Cormac",Blood Meridian,1985,3,1,,,,,,,1,,,,,1,1
"Taylor, Peter",The Old Forest and Other Stories,1985,2,,,,,,1,,,,,,,,1985
"Tyler, Anne",The Accidental Tourist,1985,1,,,,1,,,,,,,,,,
"Wolff, Tobias",The Barracks thief,1985,1,,,,,,1,,,,,,,,
"Amis, Martin",Money,1984,2,,,,,,,,,,1,,,1,
"Bellow, Saul",Him With His Foot In His Mouth,1984,1,1,,,,,,,,,,,,,1984
"Brookner, Anita",Hotel du Lac,1984,1,,,1,,,,,,,,,,,
"Coetzee, J M ",Life and Tims of Michael K,1984,2,,,1,,,,,,,,,,,1984
"Doctorow, E. L.",Lives of the Poets,1984,1,,,,,,,,,,,,,,1984
"Gibson, William",Neuromancer,1984,1,,,,,,,,,,,,,1,
"Gilchrist, Ellen",Victory Over Japan: A Book of Stories,1984,1,,,,,1,,,,,,,,,
"Kundera, Milan",The Unbearable Lightness of Being,1984,1,,,,,,,,,,,,,,1984
"Llosa, Mario Vargas",The War of the End of the World,1984,1,,,,,,,,,,,,,,1984
"Munif, Abd al-Rahman",Cities of Salt,1984,1,,,,,,,,,,,71,,,
Philips,Machine Dreams,1984,1,,,,,,,,,,,,,,1984
"Terkel, Studs",The Good War,1984,1,,,,,,,,1,,,,,,
"Wideman, John Edgar",Brothers and Keepers,1984,1,,,,,,,,,,,,,,1984
"Wideman, John Edgar",Sent for You Yesterday,1984,1,,,,,,1,,,,,,,,
"Carver, Raymond",Cathedral,1983,1,,,,,,,,,,,,,,1983
"Chase, Joan",During the Reigh of the Queen of Persia,1983,1,,,,,,,,,,,,,,1983
"Eco, Umberto",The Name of the Rose,1983,1,1,,,,,,,,,,,,,1983
